2011-06-17 10:57:53 Debug: Notice (8): Undefined property: File::$table in [C:\Documents and Settings\Administrator\asset_management\cake\libs\model\model.php, line 666]
2011-06-17 11:15:12 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\views\relatedfiles\view.ctp, line 6]
2011-06-17 11:15:12 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\views\relatedfiles\view.ctp, line 11]
2011-06-17 11:15:12 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\views\relatedfiles\view.ctp, line 16]
2011-06-17 11:15:12 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\views\relatedfiles\view.ctp, line 24]
2011-06-17 11:15:12 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\views\relatedfiles\view.ctp, line 25]
2011-06-19 05:57:03 Debug: Notice (8): Undefined property: View::$html in [C:\Documents and Settings\Administrator\asset_management\app\views\items\add.ctp, line 42]
2011-06-19 05:59:20 Debug: Notice (8): Undefined property: View::$html in [C:\Documents and Settings\Administrator\asset_management\app\views\items\add.ctp, line 42]
2011-06-19 08:01:03 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\app_controller.php, line 33]
2011-06-19 08:01:03 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\app_controller.php, line 34]
2011-06-19 08:01:03 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\app_controller.php, line 48]
2011-06-19 07:01:03 Debug: Notice (8): Undefined variable: file in [C:\Documents and Settings\Administrator\asset_management\app\app_controller.php, line 65]
2011-06-19 08:59:55 Debug: Notice (8): Undefined property: ItemsController::$Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 30]
2011-06-19 09:25:02 Debug: Notice (8): Undefined index: Item in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 36]
2011-06-19 09:26:26 Debug: Notice (8): Undefined index: Item in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 37]
2011-06-19 09:26:27 Debug: Notice (8): Undefined index: Item in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 37]
2011-06-19 09:26:47 Debug: Notice (8): Undefined index: Item in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 38]
2011-06-20 05:39:11 Debug: Notice (8): Undefined index: file_url in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 165]
2011-06-20 05:50:27 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:01:24 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:02:03 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:03:54 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:04:09 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:04:22 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:06:17 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:07:52 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:11:32 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
2011-06-20 06:11:45 Debug: Notice (8): Undefined index: Relatedfile in [C:\Documents and Settings\Administrator\asset_management\app\controllers\items_controller.php, line 164]
